H_forward (A/m),B_forward_smoothed (T),H_reverse (A/m),B_reverse_smoothed (T)
2.719999999999982,3.9922040000001624e-05,-2.719999999999982,-4.156632000000115e-05
2.4,3.9829480000001634e-05,-2.239999999999964,-4.153272000000114e-05
1.7600000000000364,3.97355600000017e-05,-1.6,-4.149744000000125e-05
1.4400000000000546,3.964020000000162e-05,-1.2800000000000182,-4.146040000000129e-05
0.8,3.954316000000166e-05,-0.6399999999999636,-4.142136000000133e-05
0.4800000000000182,3.9444280000001596e-05,-0.3199999999999818,-4.1380000000001274e-05
-0.15999999999994544,3.934348000000157e-05,0.4800000000000182,-4.1336240000001276e-05
-0.6399999999999636,3.924060000000153e-05,0.8,-4.128992000000126e-05
-1.2800000000000182,3.913532000000154e-05,1.6,-4.124064000000128e-05
-1.6,3.9027320000001484e-05,1.9199999999999817,-4.118808000000123e-05
-2.4,3.891636000000146e-05,2.719999999999982,-4.113200000000119e-05
-2.719999999999982,3.8802280000001414e-05,2.879999999999927,-4.1072000000001195e-05
-3.519999999999982,3.868476000000141e-05,3.519999999999982,-4.100752000000107e-05
-4.159999999999945,3.856340000000149e-05,3.8400000000000545,-4.093808000000098e-05
-4.639999999999963,3.843804000000159e-05,4.480000000000018,-4.086320000000095e-05
-4.959999999999946,3.8308520000001656e-05,4.8,-4.078232000000095e-05
-5.759999999999946,3.81743600000017e-05,5.6,-4.069480000000094e-05
-5.919999999999982,3.8035160000001594e-05,6.079999999999927,-4.060008000000108e-05
-6.4,3.7890600000001565e-05,6.7199999999998905,-4.049752000000115e-05
-7.039999999999964,3.774020000000145e-05,7.199999999999909,-4.038632000000122e-05
-7.839999999999963,3.758340000000141e-05,7.999999999999909,-4.0265680000001194e-05
-8.319999999999983,3.741972000000128e-05,8.479999999999928,-4.0134800000001146e-05
-9.119999999999981,3.724852000000136e-05,9.119999999999981,-3.999280000000112e-05
-9.6,3.706908000000141e-05,9.439999999999964,-3.983880000000099e-05
-10.239999999999963,3.688068000000152e-05,10.079999999999927,-3.967184000000096e-05
-10.559999999999945,3.66825200000016e-05,10.39999999999991,-3.949072000000095e-05
-11.039999999999964,3.647372000000169e-05,11.039999999999964,-3.9294000000001e-05
-11.359999999999946,3.625340000000185e-05,11.359999999999946,-3.908008000000091e-05
-11.839999999999964,3.60207600000018e-05,12.159999999999945,-3.884704000000089e-05
-12.159999999999991,3.5774840000001726e-05,12.639999999999963,-3.85927200000009e-05
-12.64000000000001,3.551452000000177e-05,13.440000000000008,-3.8314800000001024e-05
-13.280000000000019,3.52386800000019e-05,13.919999999999982,-3.801088000000112e-05
-13.760000000000037,3.494604000000186e-05,14.719999999999981,-3.767856000000108e-05
-14.240000000000009,3.4635000000001955e-05,15.2,-3.731552000000114e-05
-15.04000000000001,3.430372000000209e-05,16.0,-3.691976000000114e-05
-15.680000000000017,3.395028000000213e-05,16.319999999999983,-3.6489680000001067e-05
-16.15999999999999,3.3572680000002084e-05,16.95999999999999,-3.602408000000102e-05
